instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
366,1/1/2012,1,1,1,0,0,0,1,0.37,0.375621,0.6925,0.192167,686,1608,2294
367,2/1/2012,1,1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,244,1707,1951
368,3/1/2012,1,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,89,2147,2236
369,4/1/2012,1,1,1,0,3,1,2,0.1075,0.119337,0.414583,0.1847,95,2273,2368
370,5/1/2012,1,1,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987,140,3132,3272
371,6/1/2012,1,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,307,3791,4098
372,7/1/2012,1,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,1070,3451,4521
373,8/1/2012,1,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,599,2826,3425
374,9/1/2012,1,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,106,2270,2376
375,10/1/2012,1,1,1,0,2,1,1,0.308696,0.318826,0.646522,0.187552,173,3425,3598
376,11/1/2012,1,1,1,0,3,1,2,0.274167,0.282821,0.8475,0.131221,92,2085,2177
377,12/1/2012,1,1,1,0,4,1,2,0.3825,0.381938,0.802917,0.180967,269,3828,4097
378,13/1/2012,1,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,174,3040,3214
379,14/1/2012,1,1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,333,2160,2493
380,15/1/2012,1,1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,284,2027,2311
381,16/1/2012,1,1,1,1,1,0,1,0.19,0.190663,0.5225,0.231358,217,2081,2298
382,17/1/2012,1,1,1,0,2,1,2,0.373043,0.364278,0.716087,0.34913,127,2808,2935
383,18/1/2012,1,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429,109,3267,3376
384,19/1/2012,1,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158,130,3162,3292
385,20/1/2012,1,1,1,0,5,1,2,0.2175,0.220958,0.45,0.20275,115,3048,3163
386,21/1/2012,1,1,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642,67,1234,1301
387,22/1/2012,1,1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638,196,1781,1977
388,23/1/2012,1,1,1,0,1,1,2,0.218333,0.243058,0.91125,0.110708,145,2287,2432
389,24/1/2012,1,1,1,0,2,1,1,0.3425,0.349108,0.835833,0.123767,439,3900,4339
390,25/1/2012,1,1,1,0,3,1,1,0.294167,0.294821,0.64375,0.161071,467,3803,4270
391,26/1/2012,1,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0733958,244,3831,4075
392,27/1/2012,1,1,1,0,5,1,2,0.425,0.415383,0.74125,0.342667,269,3187,3456
393,28/1/2012,1,1,1,0,6,0,1,0.315833,0.326379,0.543333,0.210829,775,3248,4023
394,29/1/2012,1,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,558,2685,3243
395,30/1/2012,1,1,1,0,1,1,1,0.269167,0.262625,0.400833,0.215792,126,3498,3624
396,31/1/2012,1,1,1,0,2,1,1,0.39,0.381317,0.416667,0.261817,324,4185,4509
397,1/2/2012,1,1,2,0,3,1,1,0.469167,0.466538,0.507917,0.189067,304,4275,4579
398,2/2/2012,1,1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187,190,3571,3761
399,3/2/2012,1,1,2,0,5,1,1,0.313333,0.309346,0.526667,0.178496,310,3841,4151
400,4/2/2012,1,1,2,0,6,0,2,0.264167,0.272725,0.779583,0.121896,384,2448,2832
401,5/2/2012,1,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996,318,2629,2947
402,6/2/2012,1,1,2,0,1,1,1,0.282609,0.296426,0.622174,0.1538,206,3578,3784
403,7/2/2012,1,1,2,0,2,1,1,0.354167,0.361104,0.49625,0.147379,199,4176,4375
404,8/2/2012,1,1,2,0,3,1,2,0.256667,0.266421,0.722917,0.133721,109,2693,2802
405,9/2/2012,1,1,2,0,4,1,1,0.265,0.261988,0.562083,0.194037,163,3667,3830
406,10/2/2012,1,1,2,0,5,1,2,0.280833,0.293558,0.54,0.116929,227,3604,3831
407,11/2/2012,1,1,2,0,6,0,3,0.224167,0.210867,0.73125,0.289796,192,1977,2169
408,12/2/2012,1,1,2,0,0,0,1,0.1275,0.101658,0.464583,0.409212,73,1456,1529
409,13/2/2012,1,1,2,0,1,1,1,0.2225,0.227913,0.41125,0.167283,94,3328,3422
410,14/2/2012,1,1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179,135,3787,3922
411,15/2/2012,1,1,2,0,3,1,1,0.348333,0.351629,0.53125,0.1816,141,4028,4169
412,16/2/2012,1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,74,2931,3005
413,17/2/2012,1,1,2,0,5,1,1,0.343333,0.351629,0.634583,0.205846,349,3805,4154
414,18/2/2012,1,1,2,0,6,0,1,0.346667,0.355425,0.534583,0.190929,1435,2883,4318
415,19/2/2012,1,1,2,0,0,0,2,0.28,0.265788,0.515833,0.253112,618,2071,2689
